posicion,keyword,categoria
1,panini,Otros
2,zapatillas adidas,Calzado
3,cafetera,Electrodomesticos
4,iphone,Celulares
5,celular,Celulares
6,reloj hombre,Otros
7,botines,Calzado
8,casco moto,Celulares
9,ganga home,Otros
10,proyector,Tecnologia
11,notebook,Tecnologia
12,dell tienda oficial,Tecnologia
13,aire acondicionado,Electrodomesticos
14,samsung,Celulares
15,celulares,Celulares
16,album mundial 2026,Otros
17,mercedes benz a35,Otros
18,nokia 1100 2026,Celulares
19,aire acondicionado inverter,Electrodomesticos
20,blue label,Otros
21,playstation 5,Videojuegos
22,lavarropas,Electrodomesticos
23,samsung s23,Celulares
24,lavarropas automatico,Electrodomesticos
25,samsung a54,Celulares
26,microondas,Electrodomesticos
27,iphone 17,Celulares
28,iphone 11,Celulares
29,heladera,Electrodomesticos
30,chromecast,Tecnologia
31,termotanque electrico,Electrodomesticos
32,vans knu skool,Calzado
33,mecado libre chile,Otros
34,cortinas blackout,Otros
35,pava electrica,Electrodomesticos
36,samsung argentina,Celulares
37,auriculares inalambricos,Tecnologia
38,moto g72,Celulares
39,apple iphone,Celulares
40,nike air max furyosa,Calzado
41,aires acondicionados,Electrodomesticos
42,aire acondicionado frio calor,Electrodomesticos
43,samsung galaxy s25 ultra,Celulares
44,zapatillas,Calzado
45,aire acondicionado portatil,Electrodomesticos
46,mayorista figuritas panini mundial,Otros
47,play 5,Videojuegos
48,motorola,Celulares
49,termo stanley,Otros
50,notebook samsung,Celulares
